advmean,advstd,curr_cr,curr_iter,curr_lr,elapsed_time,ev,expected_time,frac,opt_approxkl,opt_clipfrac,opt_ent,opt_pg_loss,opt_policy_loss,opt_vf_loss,retmean,retstd,rew_mean,vpredmean,vpredstd
0.0,0.9999995,0.1,61,0.0001,3.6604061126708984,0.7928679883480072,15.887179308467442,0.996096,1.3451046e-14,0.0,1.7938044,-0.08264334,-0.05996055,0.024476586,0.25556815,0.5286333,0.30273438,0.20737985,0.52177703
1.1175871e-08,0.9999995,0.1,62,0.0001,3.6232190132141113,0.8298045545816422,15.725776967075136,0.996032,1.1699192e-14,0.0,1.8375118,-0.08179938,-0.06361105,0.020025842,0.38286218,0.5114504,0.36523438,0.34349447,0.4978797
-7.450581e-09,0.9999994,0.1,63,0.0001,3.552497625350952,0.8901981860399246,15.418826498919064,0.995968,1.0850695e-14,0.0,1.6852363,0.05107475,0.06577241,0.016382892,0.5135101,0.5557283,0.4560547,0.48913938,0.5151052
1.4901161e-08,0.9999995,0.1,64,0.0001,3.6102921962738037,0.8036222755908966,15.669670990771717,0.995904,1.05341625e-14,0.0,1.71571,0.082048126,0.107349165,0.02701675,0.5077616,0.51114196,0.53027344,0.49516964,0.51627094
-2.2351742e-08,0.99999946,0.1,65,0.0001,3.7131800651550293,0.8378468751907349,16.116232921679813,0.99584,1.2958601e-14,0.0,1.6417634,0.014594408,0.031713568,0.018760923,0.6271377,0.49309045,0.6035156,0.6728439,0.4758285
-3.7252903e-09,0.9999995,0.1,66,0.0001,3.609224557876587,0.7045784294605255,15.665037143561575,0.995776,1.5897873e-14,0.0,1.5824083,0.07303176,0.087835476,0.016386118,0.60221255,0.40321612,0.5107422,0.5663506,0.413965
-1.4901161e-08,0.9999994,0.1,67,0.0001,3.6134684085845947,0.7817855030298233,15.683456634481749,0.995712,9.011021e-15,0.0,1.7402916,0.08386482,0.102338865,0.020214334,0.5401408,0.40880305,0.5283203,0.49466997,0.39638278
0.0,0.99999964,0.1,68,0.0001,3.6183862686157227,0.5630981028079987,15.704801513089073,0.995648,1.4600517e-14,0.0,1.651639,0.006464407,0.03704407,0.032231305,0.65837085,0.42114773,0.5283203,0.60453016,0.42622766
-9.313226e-09,0.9999996,0.1,69,0.0001,3.6824233531951904,0.7858618944883347,15.982740248243013,0.995584,7.830542e-15,0.0,1.7754338,-0.036102667,-0.02245378,0.0154243205,0.5853983,0.44211155,0.49609375,0.6036391,0.38220856
1.8626451e-09,0.99999946,0.1,70,0.0001,3.7213618755340576,0.7451203465461731,16.1517442514499,0.99552,1.3047289e-14,0.0,1.6226472,-0.12867026,-0.11050599,0.019786915,0.6889839,0.3936979,0.58984375,0.6790875,0.3716039
3.7252903e-09,0.9999994,0.1,71,0.0001,3.7322003841400146,0.8921031057834625,16.19878638949659,0.995456,1.3937853e-14,0.0,1.6853311,0.032832168,0.05100727,0.019860435,0.43539745,0.5127603,0.4658203,0.39679062,0.48448724
1.4901161e-08,0.99999964,0.1,72,0.0001,3.7214648723602295,0.6346068382263184,16.152191286285717,0.995392,1.1319071e-14,0.0,1.7414776,-0.02573023,0.006104162,0.03357587,0.68671954,0.42339727,0.5,0.6464691,0.45744535
